specname_sci,family
gadus_morhua,Gadidae
melanogrammus_aeglefinus,Gadidae
merlangius_merlangus,Gadidae
pollachius_virens,Gadidae
pollachius_pollachius,Gadidae
enchelyopus_cimbrius,Gadidae
raniceps_raninus,Gadidae
trisopterus_minutus,Gadidae
trisopterus_esmarkii,Gadidae
trisopterus_luscus,Gadidae
gadiculus_argenteus,Gadidae
molva_molva,Gadidae
brosme_brosme,Gadidae
ciliata_mustela,Gadidae
gaidropsarus_vulgaris,Gadidae
micromesistius_poutassou,Gadidae
clupea_harengus,Clupeidae
sprattus_sprattus,Clupeidae
engraulis_encrasicolus,Clupeidae
sardina_pilchardus,Clupeidae
alosa_alosa,Clupeidae
alosa_fallax,Clupeidae
pleuronectes_platessa,Pleuronectidae
hippoglossoides_platessoides,Pleuronectidae
limanda_limanda,Pleuronectidae
microstomus_kitt,Pleuronectidae
platichthys_flesus,Pleuronectidae
glyptocephalus_cynoglossus,Pleuronectidae
buglossidium_luteum,Pleuronectidae
arnoglossus_laterna,Pleuronectidae
scophthalmus_maximus,Pleuronectidae
scophthalmus_rhombus,Pleuronectidae
solea_solea,Pleuronectidae
zeugopterus_norvegicus,Pleuronectidae
zeugopterus_punctatus,Pleuronectidae
scomber_scombrus,Scombridae
trachurus_trachurus,Carangidae
scomber_japonicus,Scombridae
raja_clavata,Rajidae
raja_brachyura,Rajidae
raja_montagui,Rajidae
raja_microocellata,Rajidae
amblyraja_radiata,Rajidae
rajella_lintea,Rajidae
myoxocephalus_scorpius,Cottidae
triglops_murrayi,Cottidae
micrenophrys_lilljeborgii,Cottidae
artediellus_atlanticus,Cottidae
eutrigla_gurnardus,Triglidae
chelidonichthys_lucerna,Triglidae
trigla_lyra,Triglidae
aspitrigla_cuculus,Triglidae
callionymus_lyra,Callionymidae
callionymus_maculatus,Callionymidae
callionymus_reticulatus,Callionymidae
labrus_bergylta,Labridae
labrus_mixtus,Labridae
ctenolabrus_rupestris,Labridae
symphodus_melops,Labridae
centrolabrus_exoletus,Labridae
gobius_niger,Gobiidae
pomatoschistus_minutus,Gobiidae
pomatoschistus_pictus,Gobiidae
lesueurigobius_friesii,Gobiidae
aphia_minuta,Gobiidae
crystallogobius_linearis,Gobiidae
ammodytes_marinus,Ammodytidae
ammodytes_tobianus,Ammodytidae
hyperoplus_lanceolatus,Ammodytidae
osmerus_eperlanus,Osmeridae
argentina_silus,Argentinidae
argentina_sphyraena,Argentinidae
zeus_faber,Zeidae
zoarces_viviparus,Zoarcidae
lycodes_gracilis,Zoarcidae
lycodes_vahlii,Zoarcidae
lycenchelys_sarsii,Zoarcidae
lumpenus_lampretaeformis,Stichaeidae
leptoclinus_maculatus,Stichaeidae
pholis_gunnellus,Pholidae
anarhichas_lupus,Anarhichadidae
trachinus_draco,Trachinidae
echiichthys_vipera,Trachinidae
scyliorhinus_canicula,Scyliorhinidae
squalus_acanthias,Squalidae
etmopterus_spinax,Etmopteridae
anguilla_anguilla,Anguillidae
conger_conger,Congridae
petromyzon_marinus,Petromyzontidae
lampetra_fluviatilis,Petromyzontidae
agonus_cataphractus,Agonidae
cyclopterus_lumpus,Cyclopteridae
liparis_liparis,Liparidae
liparis_montagui,Liparidae
lophius_piscatorius,Lophiidae
dicentrarchus_labrax,Moronidae
mullus_surmuletus,Mullidae
syngnathus_acus,Syngnathidae
syngnathus_rostellatus,Syngnathidae
syngnathus_typhle,Syngnathidae
entelurus_aequoreus,Syngnathidae
nerophis_lumbriciformis,Syngnathidae
chelon_labrosus,Mugilidae
chelon_auratus,Mugilidae
belone_belone,Belonidae
scomberesox_saurus,Scomberesocidae
atherina_presbyter,Atherinidae
sebastes_viviparus,Sebastidae
helicolenus_dactylopterus,Sebastidae
chimaera_monstrosa,Chimaeridae
mola_mola,Molidae
lagocephalus_scelatus,Tetraodontidae
merluccius_merluccius,Merlucciidae
phycis_blennoides,Phycidae
coryphaenoides_rupestris,Macrouridae
myxine_glutinosa,Myxinidae
salmo_trutta,Salmonidae
salmo_salar,Salmonidae
alburnus_alburnus,Cyprinidae
notoscopelus_kroyeri,Myctophidae
benthosema_glaciale,Myctophidae
polyprion_americanus,Polyprionidae
mustelus_asterias,Triakidae
somniosus_microcephalus,Dalatiidae
galeus_melastomus,Scyliorhinidae
maurolicus_muelleri,Sternoptychidae
gasterosteus_aculeatus,Gasterosteidae
sparus_aurata,Sparidae
capros_aper,Caproidae
crangon_crangon,Crustacea
crangon_allmanni,Crustacea
cancer_pagurus,Crustacea
homarus_gammarus,Crustacea
nephrops_norvegicus,Crustacea
polybius_depurator,Crustacea
geryon_trispinosus,Crustacea
lithodes_maja,Crustacea
spirontocaris_liljeborgii,Crustacea
pandalus_borealis,Caridea
pandalus_montagui,Caridea
pasiphaea_multidentata,Caridea
pasiphaea_sivado,Caridea
dichelopandalus_bonnieri,Caridea
pontophilus_norvegicus,Caridea
processa_canaliculata,Caridea
pandalus,Pandalidae
pandalidae,Pandalidae
meganyctiphanes_norvegica,Euphausiidae
euphausiidae,Euphausiidae
pagurus_bernhardus,Paguridae
alloteuthis_subulata,Cephalopoda
loligo_forbesii,Cephalopoda
loligo_vulgaris,Cephalopoda
illex_coindetii,Cephalopoda
todarodes_sagittatus,Cephalopoda
todaropsis_eblanae,Cephalopoda
sepielta_oweniana,Cephalopoda
sepiola_atlantica,Cephalopoda
eledone_cirrhos,Cephalopoda
haliphron_atlanticus,Cephalopoda
rossia_macrosoma,Cephalopoda
rondeletiola_minor,Cephalopoda
bathypolypus_sp,Cephalopoda
ommastrephidae,Cephalopoda
loliginidae,Cephalopoda
sepiidae,Cephalopoda
sepiolidae,Cephalopoda
ammodytes,Ammodytidae
ammodytidae,Ammodytidae
gobiidae,Gobiidae
callionymidae,Callionymidae
pomatoschistus,Gobiidae
actinopterygii,Actinopterygii
elasmobranchii,Elasmobranchii
holocephali,Holocephali
cyclostomi,Cyclostomi
crustacea,Crustacea
caridea,Caridea
cephalopoda,Cephalopoda
brachyura,Brachyura
crangon,Crustacea
loligo,Cephalopoda
illex,Cephalopoda
pasiphaea,Caridea
pasiphaeidae,Caridea
polybius,Crustacea
rossia,Cephalopoda
sepielta,Cephalopoda
sthenoteuthis,Cephalopoda
todaropsis,Cephalopoda
argentina,Argentinidae
trisopterus,Gadidae
gadus,Gadidae
micromesistius,Gadidae
triglops,Cottidae
raniceps,Gadidae
lophius,Lophiidae
alosa,Clupeidae
salmo,Salmonidae
chirolophis_ascanii,Stichaeidae
atlantopandalus_propinqvus,Caridea
